Access_No_or_location,Species,Record_number,Unique_identified,Host,Host_code_number,Host_no_host,Height,No_branches,Branches_branched,Nodes_to_flower_inc_coty,No_teeth_lower_floral_leaf,Flower_colour,Corolla _ength,Corolla_width,Standard_corolla_l,Glandular_hairs,Cauline_leaf_teeth,Cauline _leaf_length,Cauline_internode_length,Cauline_ratio,Inferred_flower_date,Flower_date_cal,Julian_days_to_flower,Height_end_season,Peat_no_peat
North Berwick,Euphrasia arctica,185,233,no host,9,1,13,0,0,10,3,0,,,6,0,3,3.5,1,0.285714286,42624,42624,254,16,0
North Berwick,Euphrasia arctica,191,269,no host,9,1,9,0,0,11,1,0,,,4,0,1,2,1,0.5,42639,42639,269,4,0
North Berwick,Euphrasia arctica,192,143,no host,9,1,6,0,0,10,1,0,,,4.5,0,1,1.5,0.5,0.333333333,42636,42636,266,5,1
North Berwick,Euphrasia arctica,194,28,no host,9,1,6,0,0,10,1,0,,,4.5,0,1,2,0.5,0.25,42668,,,,
North Berwick,Euphrasia arctica,12,236,Pinus sylvestris,8,0,22,0,0,9,3,0,7,4.5,5.5,0,3,5,2,0.4,42549,42549,179,41,0
North Berwick,Euphrasia arctica,98,227,Pinus sylvestris,8,0,14,0,0,11,2,0,,,5,0,2,3,1,0.333333333,42590,42590,220,-,0
North Berwick,Euphrasia arctica,103,151,Pinus sylvestris,8,0,12,0,0,11,2,0,,,6,0,2,3,1,0.333333333,42586,42586,216,12,0
North Berwick,Euphrasia arctica,123,137,Pinus sylvestris,8,0,9,0,0,9,2,0,,,6,0,2,4,1,0.25,42598,42598,228,19,1
North Berwick,Euphrasia arctica,127,119,Pinus sylvestris,8,0,11,0,0,11,2,0,,,7,0,2,3,1,0.333333333,42598,42598,228,13,0
North Berwick,Euphrasia arctica,128,173,Pinus sylvestris,8,0,13,0,0,11,2,0,,,7.5,0,2,3,1,0.333333333,42600,42600,230,28,1
North Berwick,Euphrasia arctica,132,246,Pinus sylvestris,8,0,21,0,0,11,2,0,,,6.5,0,2,3,1,0.333333333,42602,42602,232,16,0
North Berwick,Euphrasia arctica,152,76,Pinus sylvestris,8,0,7,0,0,11,2,0,,,5.5,0,2,2,0.5,0.25,42612,42612,242,25,1
North Berwick,Euphrasia arctica,156,43,Pinus sylvestris,8,0,10,0,0,12,2,0,,,5.5,0,2,2.5,1,0.4,42613,42613,243,11,1
North Berwick,Euphrasia arctica,157,254,Pinus sylvestris,8,0,7,0,0,11,2,0,,,5,0,2,1.5,0.5,0.333333333,42614,42614,244,#N/A,#N/A
North Berwick,Euphrasia arctica,166,218,Pinus sylvestris,8,0,17,0,0,9,3,0,,,4.5,0,3,3.5,1,0.285714286,42621,42621,251,14,0
North Berwick,Euphrasia arctica,170,52,Pinus sylvestris,8,0,12,0,0,9,1,0,,,,0,1,1.5,0.5,0.333333333,42623,42623,253,11,1
North Berwick,Euphrasia arctica,172,160,Pinus sylvestris,8,0,6,0,0,11,1,0,,,4.5,0,1,1,0.5,0.5,42629,42629,259,7,0
North Berwick,Euphrasia arctica,190,61,Pinus sylvestris,8,0,10,0,0,10,1,0,,,6,0,2,2,1.5,0.75,42637,42637,267,9,0
North Berwick,Euphrasia arctica,3,221,Plantago lanceolata,4,0,21,0,0,7,3,0,8.5,6,6.5,0,2,5,2.5,0.5,42548,42548,178,63,0
North Berwick,Euphrasia arctica,11,248,Plantago lanceolata,4,0,21,2,0,7,4,0,8.5,5,6.5,0,3,6,2.5,0.416666667,42550,42550,180,77,0
North Berwick,Euphrasia arctica,19,257,Plantago lanceolata,4,0,18,3,0,7,3,0,9,5.5,7,0,4,7.5,2.5,0.333333333,42553,42553,183,7,0
North Berwick,Euphrasia arctica,25,239,Plantago lanceolata,4,0,26,2,0,8,3,0,8.5,3,6.5,0,3,6.5,3,0.461538462,42556,42556,186,72,0
North Berwick,Euphrasia arctica,58,154,Plantago lanceolata,4,0,13,0,0,8,3,0,8.5,5.5,6.5,0,3,4.5,1.5,0.333333333,42562,42562,192,32,0
North Berwick,Euphrasia arctica,59,145,Plantago lanceolata,4,0,16,1,0,10,3,0,9,4.5,7,0,3,4,2,0.5,42563,42563,193,55,0
North Berwick,Euphrasia arctica,65,230,Plantago lanceolata,4,0,14,0,0,9,3,0,7.5,5,5.5,0,3,4,1.5,0.375,42564,42564,194,15,0
North Berwick,Euphrasia arctica,67,198,Plantago lanceolata,4,0,14,0,0,11,3,0,8,5.5,6,0,3,4,1.5,0.375,42567,42567,197,#N/A,#N/A
North Berwick,Euphrasia arctica,75,122,Plantago lanceolata,4,0,16,1,0,10,3,0,8.5,5.5,6,0,2,5,1.5,0.3,42568,42568,198,32,0
North Berwick,Euphrasia arctica,76,85,Plantago lanceolata,4,0,15,1,0,10,4,0,8,5,7,0,4,5,1.5,0.3,42568,42568,198,30,1
North Berwick,Euphrasia arctica,80,94,Plantago lanceolata,4,0,16,0,0,7,3,0,7.5,5.5,6.5,0,3,7,2,0.285714286,42570,42570,200,26,1
North Berwick,Euphrasia arctica,81,208,Plantago lanceolata,4,0,10,0,0,9,3,0,8,5.5,6,0,2,3,1.5,0.5,42571,42571,201,29,0
North Berwick,Euphrasia arctica,84,109,Plantago lanceolata,4,0,17,1,0,10,4,0,8,5,6,0,3,4.5,2,0.444444444,42571,42571,201,30,0
North Berwick,Euphrasia arctica,87,266,Plantago lanceolata,4,0,11,0,0,9,3,0,8,5,6,0,3,5,1,0.2,42574,42574,204,19,0
North Berwick,Euphrasia arctica,92,40,Plantago lanceolata,4,0,9,0,0,10,2,0,6.5,,6,0,3,4,1.5,0.375,42578,42578,208,18,1
North Berwick,Euphrasia arctica,93,167,Plantago lanceolata,4,0,10,0,0,9,2,0,7,,6.5,0,3,3,1,0.333333333,42576,42576,206,13,1
North Berwick,Euphrasia arctica,97,8,Plantago lanceolata,4,0,14,0,0,10,3,0,8.5,,7,0,3,4.5,1.5,0.333333333,42577,42577,207,41,0
North Berwick,Euphrasia arctica,104,76,Plantago lanceolata,4,0,21,0,0,10,3,0,,,6.5,0,3,5,1.5,0.3,42581,42581,211,25,1
North Berwick,Euphrasia arctica,105,140,Plantago lanceolata,4,0,15,0,0,12,4,0,,,6,0,3,5,1.5,0.3,42584,42584,214,22,1
North Berwick,Euphrasia arctica,108,284,Plantago lanceolata,4,0,14,0,0,9,3,0,,,7,0,3,4,2,0.5,42592,42592,222,50,0
North Berwick,Euphrasia arctica,111,49,Plantago lanceolata,4,0,9,0,0,8,3,0,,,6,0,3,3.5,1,0.285714286,42593,42593,223,14,1
North Berwick,Euphrasia arctica,112,67,Plantago lanceolata,4,0,10,0,0,7,2,0,,,5.5,0,2,2,1,0.5,42593,42593,223,10,1
North Berwick,Euphrasia arctica,115,163,Plantago lanceolata,4,0,15,0,0,11,3,0,,,6,0,3,5,1.5,0.3,42595,42595,225,12,1
North Berwick,Euphrasia arctica,120,185,Plantago lanceolata,4,0,9,0,0,8,2,0,,,5,0,2,3,1,0.333333333,42597,42597,227,16,1
North Berwick,Euphrasia arctica,121,176,Plantago lanceolata,4,0,13,0,0,12,3,0,,,5,0,3,4,1.5,0.375,42600,42600,230,26,1
North Berwick,Euphrasia arctica,124,31,Plantago lanceolata,4,0,13,0,0,10,2,0,,,6,0,2,3,1,0.333333333,42599,42599,229,4,1
North Berwick,Euphrasia arctica,126,58,Plantago lanceolata,4,0,13,0,0,9,3,0,,,6,0,2,4,1.5,0.375,42600,42600,230,-,0
North Berwick,Euphrasia arctica,136,131,Plantago lanceolata,4,0,11,1,0,11,2,0,,,5.5,0,2,4,2,0.5,42604,42604,234,30,1
North Berwick,Euphrasia arctica,143,22,Plantago lanceolata,4,0,10,0,0,9,3,0,,,6,0,3,4,1.5,0.375,42607,42607,237,24,1
North Berwick,Euphrasia arctica,184,163,Plantago lanceolata,4,0,15,0,0,11,3,0,,,6,0,3,5,1.5,0.3,42628,42628,258,12,1
