Access. No. or location,Species,Record number,Unique identified,Host,Host code number,Height,No. branches,Branches branched,Nodes to flower inc coty,No. teeth lower floral leaf,Flower colour,Corolla length,Corolla width,Standard corolla l,Glandular hairs,Cauline leaf teeth,Cauline leaf length,Cauline internode length,Inferred flower date,Flower date cal,Julian days to flower,Height_end_season,Peat_no_peat,Early season growth,Nodes to flower,First flower date,Number of branches
North Berwick,Euphrasia arctica,39,56,Trifolium repens,1,39,8,1,9,4,0,9,6,7,0,3,15,4,10-Jul,42561,191,166,1,,9,191,8
North Berwick,Euphrasia arctica,40,83,Trifolium repens,1,68,7,1,9,5,0,10.5,6,8,0,4,14,11,08-Jul,42559,189,189,1,,9,189,7
North Berwick,Euphrasia arctica,48,25,Arabidopsis thaliana,3,20,4,0,8,4,0,9,6,7,0,4,6,4,12-Jul,42563,193,33,1,,8,193,4
North Berwick,Euphrasia arctica,56,136,Arabidopsis thaliana,3,14,1,0,8,3,0,8,5,6,0,3,6,2,13-Jul,42564,194,36,1,11.5,8,194,1
North Berwick,Euphrasia arctica,61,142,Trifolium repens,1,50,7,1,10,4,0,10.5,6.5,8,0,3,12,6,09-Jul,42560,190,112,1,15,10,190,7
North Berwick,Euphrasia arctica,64,101,Trifolium repens,1,57,7,1,10,5,0,10,8,7.5,0,4,15,7,08-Jul,42559,189,151,1,,10,189,7
North Berwick,Euphrasia arctica,68,178,Trifolium repens,1,47,5,0,10,4,0,9,5.5,6.5,0,3,11,7,18-Jul,42569,199,174,1,7,10,199,5
North Berwick,Euphrasia arctica,76,85,Plantago lanceolata,4,15,1,0,10,4,0,8,5,7,0,4,5,1.5,17-Jul,42568,198,30,1,,10,198,1
North Berwick,Euphrasia arctica,80,94,Plantago lanceolata,4,16,0,0,7,3,0,7.5,5.5,6.5,0,3,7,2,19-Jul,42570,200,26,1,,7,200,0
North Berwick,Euphrasia arctica,83,71,Arabidopsis thaliana,3,13,0,0,9,3,0,7.5,5.5,6,0,3,4.5,1.5,21-Jul,42572,202,9,1,,9,202,0
North Berwick,Euphrasia arctica,88,250,Trifolium repens,1,52,5,0,10,4,0,10,7,8,0,5,8,7,23-Jul,42574,204,201,1,5,10,204,5
North Berwick,Euphrasia arctica,90,54,Festuca,2,9,0,0,9,2,0,8,,7,0,2,3,1,26-Jul,42577,207,32,1,,9,207,0
North Berwick,Euphrasia arctica,92,40,Plantago lanceolata,4,9,0,0,10,2,0,6.5,,6,0,3,4,1.5,27-Jul,42578,208,18,1,,10,208,0
North Berwick,Euphrasia arctica,93,167,Plantago lanceolata,4,10,0,0,9,2,0,7,,6.5,0,3,3,1,25-Jul,42576,206,13,1,8,9,206,0
North Berwick,Euphrasia arctica,94,162,Festuca,2,15,0,0,10,3,0,7.5,,6.5,0,3,4,1.5,26-Jul,42577,207,19,1,5.5,10,207,0
North Berwick,Euphrasia arctica,95,106,Arabidopsis thaliana,3,10,0,0,8,2,0,0,,0,0,2,3,1,24-Jul,42575,205,11,1,,8,205,0
North Berwick,Euphrasia arctica,96,89,Arabidopsis thaliana,3,12,0,0,10,3,0,8,,7,0,3,4,1.5,25-Jul,42576,206,14,1,,10,206,0
North Berwick,Euphrasia arctica,104,76,Plantago lanceolata,4,21,0,0,10,3,0,,,6.5,0,3,5,1.5,30-Jul,42581,211,25,1,,10,211,0
North Berwick,Euphrasia arctica,105,140,Plantago lanceolata,4,15,0,0,12,4,0,,,6,0,3,5,1.5,02-Aug,42584,214,22,1,7,12,214,0
North Berwick,Euphrasia arctica,106,96,Festuca,2,14,0,0,10,3,0,,,7,0,2,4,1,08-Aug,42590,220,,1,,10,220,0
North Berwick,Euphrasia arctica,107,99,Festuca,2,13,0,0,11,3,0,,,6,0,3,4,1.5,06-Aug,42588,218,23,1,,11,218,0
North Berwick,Euphrasia arctica,109,163,Arabidopsis thaliana,3,12,0,0,10,3,0,,,6.5,0,3,4,1.5,09-Aug,42591,221,12,1,8.5,10,221,0
North Berwick,Euphrasia arctica,111,49,Plantago lanceolata,4,9,0,0,8,3,0,,,6,0,3,3.5,1,11-Aug,42593,223,14,1,,8,223,0
North Berwick,Euphrasia arctica,112,67,Plantago lanceolata,4,10,0,0,7,2,0,,,5.5,0,2,2,1,11-Aug,42593,223,10,1,,7,223,0
North Berwick,Euphrasia arctica,114,135,Festuca,2,12,0,1,10,3,0,,,7,0,3,4,1.5,15-Aug,42597,227,43,1,5,10,227,0
North Berwick,Euphrasia arctica,115,163,Plantago lanceolata,4,15,0,0,11,3,0,,,6,0,3,5,1.5,13-Aug,42595,225,12,1,8.5,11,225,0
North Berwick,Euphrasia arctica,120,185,Plantago lanceolata,4,9,0,0,8,2,0,,,5,0,2,3,1,15-Aug,42597,227,16,1,3.5,8,227,0
North Berwick,Euphrasia arctica,121,176,Plantago lanceolata,4,13,0,0,12,3,0,,,5,0,3,4,1.5,18-Aug,42600,230,26,1,6.5,12,230,0
North Berwick,Euphrasia arctica,123,137,Pinus sylvestris,8,9,0,0,9,2,0,,,6,0,2,4,1,16-Aug,42598,228,19,1,4,9,228,0
North Berwick,Euphrasia arctica,124,31,Plantago lanceolata,4,13,0,0,10,2,0,,,6,0,2,3,1,17-Aug,42599,229,4,1,,10,229,0
North Berwick,Euphrasia arctica,125,92,Trifolium repens,1,25,2,0,10,3,0,,,6.5,0,3,6,3,17-Aug,42599,229,77,1,,10,229,2
North Berwick,Euphrasia arctica,128,173,Pinus sylvestris,8,13,0,0,11,2,0,,,7.5,0,2,3,1,18-Aug,42600,230,28,1,6,11,230,0
North Berwick,Euphrasia arctica,129,44,Arabidopsis thaliana,3,12,0,0,10,2,0,,,5,0,3,3,1,16-Aug,42598,228,13,1,,10,228,0
North Berwick,Euphrasia arctica,131,193,Equisetum,6,17,2,0,11,3,0,,,5.5,0,2,3,1.5,18-Aug,42600,230,29,1,3.5,11,230,2
North Berwick,Euphrasia arctica,133,166,Equisetum,6,15,1,0,11,2,0,,,7,0,2,3,2,22-Aug,42604,234,27,1,5.5,11,234,1
North Berwick,Euphrasia arctica,135,66,Holcus lanatus,5,10,0,0,10,2,0,,,6.5,0,2,4,1.5,22-Aug,42604,234,16,1,,10,234,0
